Bin_ID,Sample,Day,Treatment
39_bin.53,P625,33,PC
39_bin.55,P625,33,PC
39_bin.56,P625,33,PC
39_bin.57,P625,33,PC
39_bin.58,P625,33,PC
39_bin.59,P625,33,PC
39_bin.6,P625,33,PC
39_bin.7,P625,33,PC
39_bin.9,P625,33,PC
4_bin.10,210R1,9,AF
4_bin.11,210R1,9,AF
4_bin.13,210R1,9,AF
4_bin.16,210R1,9,AF
4_bin.17,210R1,9,AF
4_bin.20,210R1,9,AF
4_bin.6,210R1,9,AF
4_bin.7,210R1,9,AF
4_bin.8,210R1,9,AF
4_bin.9,210R1,9,AF
40_bin.5,P630,33,NC
40_bin.6,P630,33,NC
41_bin.17,P705,42,AB
41_bin.2,P705,42,AB
41_bin.21,P705,42,AB
41_bin.23,P705,42,AB
41_bin.25,P705,42,AB
41_bin.26,P705,42,AB
41_bin.27,P705,42,AB
41_bin.29,P705,42,AB
41_bin.3,P705,42,AB
41_bin.32,P705,42,AB
41_bin.34,P705,42,AB
41_bin.35,P705,42,AB
41_bin.36,P705,42,AB
41_bin.37,P705,42,AB
41_bin.38,P705,42,AB
41_bin.42,P705,42,AB
41_bin.43,P705,42,AB
41_bin.46,P705,42,AB
41_bin.48,P705,42,AB
41_bin.5,P705,42,AB
41_bin.50,P705,42,AB
41_bin.52,P705,42,AB
41_bin.55,P705,42,AB
41_bin.58,P705,42,AB
41_bin.6,P705,42,AB
41_bin.60,P705,42,AB
41_bin.61,P705,42,AB
41_bin.62,P705,42,AB
41_bin.64,P705,42,AB
41_bin.65,P705,42,AB
41_bin.66,P705,42,AB
41_bin.7,P705,42,AB
41_bin.71,P705,42,AB
41_bin.72,P705,42,AB
41_bin.73,P705,42,AB
41_bin.74,P705,42,AB
41_bin.76,P705,42,AB
42_bin.11,P710,42,AF
42_bin.13,P710,42,AF
42_bin.14,P710,42,AF
42_bin.16,P710,42,AF
42_bin.18,P710,42,AF
42_bin.19,P710,42,AF
42_bin.2,P710,42,AF
42_bin.20,P710,42,AF
42_bin.21,P710,42,AF
42_bin.24,P710,42,AF
42_bin.26,P710,42,AF
42_bin.28,P710,42,AF
42_bin.32,P710,42,AF
42_bin.34,P710,42,AF
42_bin.36,P710,42,AF
42_bin.37,P710,42,AF
42_bin.38,P710,42,AF
42_bin.42,P710,42,AF
42_bin.47,P710,42,AF
42_bin.50,P710,42,AF
42_bin.52,P710,42,AF
42_bin.53,P710,42,AF
42_bin.54,P710,42,AF
42_bin.6,P710,42,AF
42_bin.62,P710,42,AF
42_bin.65,P710,42,AF
42_bin.9,P710,42,AF
43_bin.11,P715,42,AB+AF
43_bin.18,P715,42,AB+AF
43_bin.21,P715,42,AB+AF
43_bin.22,P715,42,AB+AF
43_bin.24,P715,42,AB+AF
43_bin.25,P715,42,AB+AF
43_bin.28,P715,42,AB+AF
43_bin.30,P715,42,AB+AF
43_bin.34,P715,42,AB+AF
